species,CPIC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Count of recap,Column Labels,,,,,,,,,,,,,,,
Row Labels,A,C,D,E,F,G,H,I,J,K,L,M,N,O,Grand Total,
276,,,,,,,,1,,,,,,,1,
277,,,,,,,,,1,,,,,,1,
280,,,,,1,,,,,,,,,,1,
281,,,,,,,,,1,,,,,,1,
282,,,,,1,,,,,,,,,,1,
284,,,,,1,,,,,,,,,,1,
287,,,,,,,,1,,,,,,,1,
290,,,,,1,,,,,,,,,,1,
291,,,,,,,,,2,,,,,,2,
292,,,,,,,,,1,,,,,,1,
294,,,,,,,,,1,,,,,,1,
299,,,,,,,,,,,,,1,,1,
300,2,,,,,,,,,,,,,,2,
301,,,,,1,,,,,,,,,,1,
302,,,,,1,,,,,,,,,,1,
303,,,,,,,,,2,,,,,,2,
304,,,,,1,,,,,,,,,,1,
305,,,,,,1,,,,,,,,,1,
306,,,,,,,,,1,,,,,,1,
307,,,,,,,,,1,,,,,,1,
308,,,,,,,,,,,1,,,,1,
309,,,,,,,,,,,,1,,,1,
310,,,,,2,,,,,,,,,,2,
311,,,,,,,1,,,,,,,,1,
312,,,,,,,1,,,,,,,,1,
313,,,,,,,,,,,,1,,,1,
314,,,,,,,,,1,,,,,,1,
315,,,,,,,,,1,,,,,,1,
316,,,,,,,,,1,,,,,,1,
320,,1,,,,,,,,,,,,,1,
321,,,,1,,,,,,,,,,,1,
322,,,,,,,,,1,,,,,,1,
323,,,,,,,,,2,,,,,,2,
324,,,,,,,,,1,,,,,,1,
326,,,,,,,,,1,,,,,,1,
327,,,,,,,,,,,,1,,,1,
328,,,,,,,,,,,,1,,,1,
330,,,,,1,,,,,,,,,,1,
331,,,,,,,,,1,,,,,,1,
332,,,,,,,,,1,,,,,,1,
333,,,,,,,,,,,,1,,,1,
334,,,,,,,,,1,,,,,,1,
335,,,,,,,,,,,,1,,,1,
337,,,,,,,,,,,,1,,,1,
338,,,,,,,,,,,,1,,,1,
339,,,,,,,,,,,,1,,,1,
341,,,,,1,,,,,,,,,,1,
342,,,,2,,,,,,,,,,,2,
343,,,,,,,,,,,,1,,,1,
344,,,,2,,,,,,,,,,,2,
345,,,,,,,,,,1,,,,,1,
346,,,,,,,,,,1,,,,,1,
347,,,,,,,,,,2,,,,,2,
348,,,,,,,,,,,,1,,,1,
349,,,,,,,,,,,,1,,,1,
350,,,,1,,,,,,,,,,,1,
351,,,,,,,,,,,,1,,,1,
352,,,,,,,,,,,,1,,,1,
353,,,,,,,,,,,,1,,,1,
354,,,,,,,,,,,,1,,,1,
355,,,,,,,,,,,,1,,,1,
356,,,,,,,,,,,,1,,,1,
357,,,,,,,,,,,,1,,,1,
358,,,,,,,,,,,,1,,,1,
359,,,,,,,,,,,,1,,,1,
360,,,,,,,,,1,,,,,,1,
362,,,,,,,,,1,,,,,,1,
363,,,,,,,,,,,,1,,,1,
364,,,,,,,,,1,,,,,,1,
365,,,,,,,,,,,,1,,,1,
366,,,,,,,,,,,,1,,,1,
367,,,,,,,,,,,,1,,,1,
368,,,,,,,,,,,,1,,,1,
369,,,,,,,,,,,,1,,,1,
370,,,,,1,,,,,,,,,,1,
371,,,,,1,,,,,,,,,,1,
372,,,,,1,,,,,,,,,,1,
373,,,,,,,,,,,,1,,,1,
374,,,,,,,1,1,,,,,,,2,
375,,,,,,,,,,1,,,,,1,
376,,,,,,,,,,,,1,,,1,
377,,,,,,,,,,1,,,,,1,
378,,,,,,,,,,,,1,,,1,
379,,,,,,,,,,,,1,,,1,
380,,,,,,,,,1,,,,,,1,
381,,,,,,,,,,1,,,,,1,
382,,,,,,,,,,,,2,,,2,
383,,,,,,,,,,,,1,,,1,
384,,,,,,,,,,,,1,,,1,
385,,,,,,,,,,,,1,,,1,
386,,,,,,,,,,,,1,,,1,
387,,,,,,,,,,,,1,,,1,
388,,,,,,,,,,,,1,,,1,
389,,,,,,,,,,,,1,,,1,
390,,,,,,,,,1,,,,,,1,
391,,,,,,,,,,,,1,,,1,
392,,,,,,,,,,,,2,,,2,
393,,,,,,,,,,,,1,,,1,
394,,,,,,,,,,,,2,,,2,
395,,,,,,,,,,,,1,,,1,
396,,,,,,,,,,,,1,,,1,
397,,,,,,,,,,,,1,,,1,
398,,,,,,,,,,,,1,,,1,
399,,,,,,,,,,,,1,,,1,
400,,1,,,,,,,,,,,,,1,
401,,,1,,,,,,,,,,,,1,
402,,,1,,,,,,,,,,,,1,
403,,,,1,,,,,,,,,,,1,
404,,,1,,,,,,,,,,,,1,
405,,,,,1,,,,,,,,,,1,
406,,,,,1,,,,,,,,,,1,
407,,,1,,,,,,,,,,,,1,
408,,,,,,,,,1,,,,,,1,
409,,,,,,,,,1,,,,,,1,
410,,1,,,,,,1,,,,,,,2,
411,,,,1,,,,,,,,,,,1,
412,,,,1,,,,,,,,,,,1,
413,,,,,,,,,1,,,,,,1,
414,,,,1,,,,,,,,,,,1,
415,,,,,,,,,1,,,,,,1,
416,,,,,,,,,1,,,,,,1,
417,,,,,,,,,1,,,,,,1,
418,,,,,,,,,1,,,,,,1,
419,,,,,,,,,,1,,,,,1,
420,,1,,,,,,,,,,,,,1,
421,,,,2,,,,,,,,,,,2,
422,,,,,1,,,,,,,,,,1,
423,,,,,,1,,,,,,,,,1,
424,,,,1,,,,,,,,,,,1,
425,,,,,,,,,1,,,,,,1,
426,,,,,,,,,1,,,,,,1,
427,,,,,,,,,1,,,,,,1,
428,,,,,,,,,,,1,,,,1,
429,,,,,,,,,,,2,,,,2,
430,,1,,,,,,1,,,,,,,2,
431,,,,,,,,,1,,,,,,1,
432,,,,,,,,,1,,,,,,1,
433,,,,,,,,,,,,1,,,1,
434,,,,,,,,,1,,,,,,1,
435,,,,,,,,,,,,1,,,1,
436,,,,,,,,,,,1,,,,1,
437,,,,,,,,,,1,,,,,1,
438,,,,,,,,,,,,1,,,1,
439,,,,,,,,,,,,1,,,1,
440,,1,,,,,,,,,,,,,1,
441,,,,1,,,,,,,,,,,1,
442,,1,,,,,,,,,,,,,1,
443,,,,,,,,,1,,,,,,1,
444,,,1,,,,,,,,,,,,1,
445,,,,,,,,,1,,,,,,1,
446,,,,,,,,,,1,,,,,1,
447,,,,,,,,,1,,,,,,1,
449,,,,,,,,,,1,,,,,1,
450,,,,,1,,,,,,,,,,1,
451,,,,,,,,,1,,,,,,1,
452,,,,,,,,,1,,,,,,1,
453,,,,,,,,,,,,1,,,1,
454,,,,,,,,,1,,,,,,1,
455,,,,,,,,,,,,1,,,1,
456,,,,,,,,,,,,1,,,1,
457,,,,,,,,,,,,1,,,1,
458,,,,,,,,,,,,2,,,2,
459,,,,,,,,,,,,1,,,1,
460,,1,,,,,,,,,,,,,1,
461,,,,,,,,,1,,,,,,1,
462,,,,,,,,,1,,,,,,1,
463,,,,,,,,,,,,1,,,1,
464,,,,,,,,,1,,,,,,1,
465,,,,,,,,,,2,,,,,2,
466,,,,,,,,,,,,1,,,1,
467,,,,,,,,,,,,1,,,1,
468,,,,,,,,,,,,1,,,1,
469,,,,,,,,,,,,1,,,1,
470,,,1,,,,,,,,,,,,1,
471,,,,,,,,,1,,,,,,1,
472,,,,,,,,,1,,,,,,1,
473,,,,,,,,,,,1,,,,1,
474,,,,,,,,,1,,,,,,1,
475,,,,,,,,,,,1,,,,1,
476,,,,,,,,,,,,1,,,1,
477,,,,,,,,,1,,,,,,1,
478,,,,,,,,,,,1,,,,1,
479,,,,,,,,,,,1,,,,1,
480,,,,,,,,,,1,,,,,1,
481,,,,,,,,,,,1,,,,1,
482,,,,,,,,,,,1,,,,1,
483,,,,,,,,,,,,1,,,1,
484,,,,,,,,,,,1,,,,1,
486,,,,,,,,,,,,1,,,1,
487,,,,,,,,,,,,1,,,1,
488,,,,,,,,,,,,1,,,1,
489,,,,,,,,,,,,1,,,1,
490,,,,,,,,,,,,,1,,1,
491,,,,,,,,,,,,,2,,2,
492,,,,,,,,,,,,,2,,2,
493,,,,,,,,,,,,,,2,2,
494,,,,,,,,,,,,,1,,1,
495,,,,,,,,,,,,,,2,2,
497,,,,,,,,,,,,,,2,2,
500,,,,,,,,,,,1,,,,1,
501,,,,,,2,,,,,,,,,2,
502,,,,,,1,,,,,,,,,1,
503,,,,,,1,,,,,,,,,1,
504,,,,,,2,,,,,,,,,2,
505,,,,,,1,,,,,,,,,1,
507,,,,,,,,,,,,,1,,1,
508,,,,,,,,,,,,,1,,1,
509,,,,,,,,,,,,,,2,2,
510,,,,,,1,,,,,,,,,1,
511,,,,,,,,,,,,,1,,1,
512,,,,,,,,,,,,,1,,1,
513,,,,,,,,,,,,,1,,1,
514,,,,,,,,,,,,,1,,1,
515,,,,,,,,,,,,,1,,1,
516,,,,,,,,,,,,,1,,1,
517,,,,,,,,,,,,,1,,1,
520,,,,,2,,,,,,,,,,2,
521,,,,,,,,,,,,,1,,1,
522,,,,,,,,,,,,,2,,2,
524,,,,,,,,,,,,,2,,2,
526,,,,,,,,,,,,,,1,1,
527,,,,,,,,,,,,,1,,1,
530,,,,,,,,,,,,,1,,1,
531,,,,,,,,,,,,,1,,1,
532,,,,,,,,,,,,,1,,1,
533,,,,,,,,,,,,,1,,1,
534,,,,,,,,,,,,,1,,1,
535,,,,,,,,,,,,,1,,1,
536,,,,,,,,,,,,,1,,1,
537,,,,,,,,,,,,,,1,1,
540,,,,,,1,,,,,,,,,1,
541,,,,,,,,,,,,,1,,1,
542,,,,,,,,,,,,,1,,1,
543,,,,,,,,,,,,,,1,1,
544,,,,,,,,,,,,,1,,1,
545,,,,,,,,,,,,,1,,1,
546,,,,,,,,,,,,,,2,2,
547,,,,,,,,,,,,,,1,1,
550,,,,,,,,,,,,,1,,1,
551,,,,,,,,,,,,,,2,2,
552,,,,,,,,,,,,,,1,1,
554,,,,,,,,,,,,,,2,2,
560,,,,,,,,,,,,,1,,1,
561,,,,,,,,,,,,,,1,1,
562,,,,,,,,,,,,,,2,2,
564,,,,,,,,,,,,,,1,1,
570,,,,,,2,,,,,,,,,2,
571,,,,,,,,,,,,,1,,1,
572,,,,,,,,,,,,,1,,1,
573,,,,,,,,,,,,,,1,1,
575,,,,,,,,,,,,,,1,1,
576,,,,,,,,,,,,,,1,1,
577,,,,,,,,,,,,,1,,1,
580,,,,,,,,,,,,,1,,1,
581,,,,,,,,,,,,,,1,1,
582,,,,,,,,,,,,,,1,1,
590,,,,,,,,,,,,,,1,1,
591,,,,,,,,,,,,,,1,1,
592,,,,,,,,,,,,,,3,3,
595,,,,,,,,,,,,,,1,1,
600,,,,,,,,,,,,,2,,2,
601,,,,,,,,,,,,,1,,1,
602,,,,,,,,,,,,,1,,1,
603,,,,,,,,,,,,,,2,2,
